N,Estudios Técnicos,Fecha,Superintendencia,Área,Etiquetas
1,Estandar Centro Control deTráfico,8/3/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estándar, Tráfico, Operación"
2,Plan Operacion Invierno Rutas de Acceso,8/6/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estándar, Invierno, Operación"
3,Estandar Controlador de Transporte,8/12/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estándar, Tráfico, Operación"
4,Estudio Riesgos Viales Transporte Agua,8/4/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte"
5,Plan Operacional Inspección de Origen,10/5/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estándar, Tráfico, Operación"
6,Estudio Riesgos Viales Rutas Acceso a LB,10/10/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
7,Estudio Riesgos Viales Rutas Quilapilun CST,11/3/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
8,Movilidad Segura Fase 2 ISO 39001,11/5/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001"
9,Proceso Movilidad Segura Fase 1 ISO 3900,11/10/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001"
10,Estudio Rutas Autopista RM 250 KM,11/14/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
11,Estudio Rutas Los Libertadores Los Andes,12/2/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
12,Plan de Control y Gestion Vial LB,12/3/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estándar, Tráfico, Operación"
13,Estudio Traficos Modos Transporte LB-LT,12/10/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
14,Estudio Movilidad Segura ISO 39001,12/15/22,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001"
15,Estudio Trafico Iso 39001 F3 F4,1/11/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001, Tráfico"
16,Estudio Trafico ISO 39001 Fase 1 Fase 2,1/7/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001, Tráfico"
17,Estudio Traficos ISO 39001 F5 F6 F7,3/2/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001, Tráfico"
18,Auditorias Viales LB -LT (Caminos KM),3/5/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, ISO39001, Tráfico"
19,Seguridad Vial Transporte Agua_Trafico C,6/4/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
20,Auditori Seguridad Trans AguaRiesgoVial,7/15/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
21,Análisis Caminos Transporte Rutas Los Bronces ,7/20/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
22,Estudio Traficos Modos Transporte LB-LT,12/20/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
23,Estudio Riesgos Viales Rutas Acceso a Lo,12/22/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
24,Estudio de Ruta Autopistas RM_250KM,12/15/23,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"
25,Mediciones y estudios de riesgos viales,7/2/24,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Estudio, Análisis, Transporte, Tráfico"